track_name	track_id	duration_ms	album_name	release_date	label	album_popularity	album_id	artist_id	duration_sec
Black Sands	6T0w8wrJhIMiBqVmC4UhrV	151287	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	151.287
Squad Goals	1RDxImYrRLV8gpL5J1eeO9	257977	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	257.977
All Gold	3UYPhAxyuc7XTQX0RTaMqj	130462	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	130.462
Gladiators	5rVuUcCfe2SBd0I1YthDP6	216503	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	216.503
Power	5sRZJDjMfqeGqzcf7VLLeD	213052	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	213.052
Bright Side	4zpLDzxAl6ZwaeWzL20ZXM	210557	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	210.557
Rumble In Kerma	62vwux2aauHam2wQKJG4HI	171977	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	171.977
The Coin	1sgVXkabERazto6ePY7c4e	243664	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	243.664
Kings And Queens	3yGRnVDOx6PqFjrC460dpZ	195084	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	195.084
Reign	3CqlwRGISC92ue2s9WklIT	261256	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	261.256
King'S Calling	0Z7ZrD4pFJ6TJLT5NfGBFb	248471	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	248.471
Rah	6icLovKH6BSmjZSgqRcYwW	149886	Black Sands: Official Soundtrack	2019-12-20 00:00:00 UTC	1521914 Records DK2	2	3P7ScpNUSc9xEdVPDQyXIT	005nJcjkbJcDqEDV75nqbq	149.886
Fire	5VIJ35Rs3wPW4upxeuOFkX	205500	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	205.5
Drifting	5ZZEw2b6ueFJhRVBGtFRAz	216000	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	216
One Rainy Wish	2jSAf3FaQHwja43LWHRfWd	327250	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	327.25
Little Wing	4Hxnw9L9wB15zFiOsQj9Ar	270000	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	270
Wait Until Tomorrow	7M73rJqYwzbw8jaqNsWLpf	219250	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	219.25
Castles Made Of Sand	4qgwgJkuGvuqZT0c6IvKxK	254250	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	254.25
Come On (Part 1)	7cud5rA0hyblSaXCxV3FiR	198500	The Jimi Hendrix Experimento	2017-03-02 00:00:00 UTC	Los A̱os Luz Discos	1	1tNACeF9Pk67b8jvzYBDdB	00AuH5M9ms9SBUVijjpVof	198.5
